XboxApp

223.215.189.111	(中国安徽池州 电信)
114.105.125.60	(中国安徽阜阳 电信)
114.106.66.64	(中国安徽合肥 电信)
114.106.67.64	(中国安徽合肥 电信)
117.66.54.137	(中国安徽合肥 电信)
223.244.6.100	(中国安徽合肥 电信)
61.241.178.205	(中国安徽合肥 联通)
112.28.174.65	(中国安徽淮南 移动)
60.171.255.50	(中国安徽宿州 电信)
117.69.71.52	(中国安徽宿州 电信)
117.68.71.155	(中国安徽芜湖 电信)
223.247.113.52	(中国安徽芜湖 电信)
223.247.122.5	(中国安徽芜湖 电信)
36.110.220.118	(中国北京 电信)
49.7.69.139	(中国北京 电信)
106.39.192.140	(中国北京 电信)
220.181.183.27	(中国北京 电信)
123.125.246.60	(中国北京 联通)
39.136.87.96	(中国北京 移动)
113.249.87.129	(中国重庆 电信)
119.86.11.180	(中国重庆 电信)
119.86.240.57	(中国重庆 电信)
183.66.110.146	(中国重庆 电信)
219.151.130.148	(中国重庆 电信)
219.152.87.120	(中国重庆 电信)
222.180.167.94	(中国重庆 电信)
58.144.227.115	(中国重庆 联通)
39.137.38.48	(中国重庆 移动)
183.230.59.146	(中国重庆 移动)
120.39.213.144	(中国福建福州 电信)
121.204.225.182	(中国福建福州 电信)
121.204.229.136	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
36.248.41.205	(中国福建福州 联通)
112.49.53.50	(中国福建福州 移动)
112.50.104.118	(中国福建福州 移动)
27.152.184.85	(中国福建泉州 电信)
220.160.34.46	(中国福建泉州 电信)
36.249.72.59	(中国福建泉州 联通)
175.43.23.114	(中国福建泉州 联通)
110.88.142.16	(中国福建厦门 电信)
117.31.116.56	(中国福建厦门 电信)
117.31.118.32	(中国福建厦门 电信)
120.39.163.180	(中国福建厦门 电信)
60.164.4.44	(中国甘肃兰州 电信)
118.180.0.74	(中国甘肃兰州 电信)
118.183.9.115	(中国甘肃兰州 电信)
125.74.30.104	(中国甘肃兰州 电信)
125.74.134.79	(中国甘肃兰州 电信)
124.152.255.74	(中国甘肃兰州 联通)
118.183.57.221	(中国甘肃庆阳 电信)
125.76.110.200	(中国甘肃庆阳 电信)
183.47.242.114	(中国广东潮州 电信)
59.36.100.121	(中国广东东莞 电信)
119.147.130.244	(中国广东东莞 电信)
