assets1.xboxlive.cn

223.247.67.44	(中国安徽蚌埠 电信)
120.209.212.227	(中国安徽亳州 移动)
112.26.228.63	(中国安徽阜阳 移动)
120.209.185.51	(中国安徽阜阳 移动)
117.68.47.10	(中国安徽合肥 电信)
220.180.243.218	(中国安徽合肥 电信)
223.244.13.68	(中国安徽合肥 电信)
58.242.249.142	(中国安徽合肥 联通)
61.241.148.225	(中国安徽合肥 联通)
112.132.250.61	(中国安徽马鞍山 联通)
60.167.125.77	(中国安徽芜湖 电信)
223.247.113.52	(中国安徽芜湖 电信)
112.123.33.162	(中国安徽芜湖 联通)
220.179.236.46	(中国安徽宣城 电信)
36.110.220.119	(中国北京 电信)
123.125.246.60	(中国北京 联通)
113.249.87.134	(中国重庆 电信)
183.66.105.98	(中国重庆 电信)
219.152.87.112	(中国重庆 电信)
219.153.186.244	(中国重庆 电信)
219.153.187.14	(中国重庆 电信)
58.144.231.65	(中国重庆 联通)
58.144.241.166	(中国重庆 联通)
113.207.53.2	(中国重庆 联通)
221.178.58.93	(中国重庆 移动)
27.148.142.72	(中国福建福州 电信)
27.155.68.25	(中国福建福州 电信)
59.56.23.7	(中国福建福州 电信)
59.56.26.13	(中国福建福州 电信)
120.39.213.140	(中国福建福州 电信)
120.39.215.148	(中国福建福州 电信)
121.204.231.108	(中国福建福州 电信)
124.72.137.47	(中国福建福州 电信)
36.248.43.202	(中国福建福州 联通)
36.250.233.3	(中国福建福州 联通)
175.43.192.175	(中国福建福州 联通)
112.48.214.97	(中国福建福州 移动)
112.49.55.41	(中国福建福州 移动)
220.249.135.13	(中国福建宁德 联通)
27.152.188.166	(中国福建泉州 电信)
106.126.0.118	(中国福建泉州 电信)
175.43.23.93	(中国福建泉州 联通)
112.48.194.197	(中国福建泉州 移动)
27.159.73.12	(中国福建厦门 电信)
27.159.75.30	(中国福建厦门 电信)
110.88.142.136	(中国福建厦门 电信)
112.48.118.244	(中国福建厦门 移动)
112.48.119.57	(中国福建厦门 移动)
112.48.137.126	(中国福建厦门 移动)
60.164.2.170	(中国甘肃兰州 电信)
60.165.20.192	(中国甘肃兰州 电信)
118.180.0.74	(中国甘肃兰州 电信)
125.74.134.73	(中国甘肃兰州 电信)
180.95.228.10	(中国甘肃兰州 联通)
14.152.89.134	(中国广东东莞 电信)
183.60.163.108	(中国广东东莞 电信)
183.60.169.88	(中国广东东莞 电信)
183.61.179.112	(中国广东东莞 电信)
183.61.239.178	(中国广东东莞 电信)
218.16.120.191	(中国广东东莞 电信)
27.44.132.60	(中国广东东莞 联通)
157.255.130.139	(中国广东东莞 联通)
14.29.45.75	(中国广东佛山 电信)
59.37.89.186	(中国广东佛山 电信)
116.31.102.56	(中国广东佛山 电信)
120.240.44.81	(中国广东佛山 移动)
120.240.51.74	(中国广东佛山 移动)
183.232.190.252	(中国广东佛山 移动)
183.240.60.55	(中国广东佛山 移动)
14.22.20.211	(中国广东广州 电信)
219.135.97.216	(中国广东广州 电信)
120.233.171.119	(中国广东广州 移动)
120.233.178.191	(中国广东广州 移动)
120.233.184.89	(中国广东广州 移动)
183.240.181.206	(中国广东广州 移动)
183.240.236.143	(中国广东广州 移动)
183.240.90.145	(中国广东茂名 移动)
119.147.227.48	(中国广东汕头 电信)
183.240.71.82	(中国广东汕头 移动)
183.240.80.60	(中国广东汕头 移动)
183.62.112.54	(中国广东深圳 电信)
183.62.114.56	(中国广东深圳 电信)
58.251.60.36	(中国广东深圳 联通)
120.241.116.201	(中国广东深圳 移动)
111.45.68.20	(中国广东湛江 移动)
14.119.92.7	(中国广东肇庆 电信)
14.152.112.29	(中国广东肇庆 电信)
112.91.160.130	(中国广东肇庆 联通)
112.60.32.13	(中国广东中山 移动)
183.237.146.127	(中国广东中山 移动)
113.106.96.57	(中国广东珠海 电信)
182.91.198.17	(中国广西桂林 联通)
171.105.25.76	(中国广西南宁 电信)
171.105.26.93	(中国广西南宁 电信)
171.105.63.44	(中国广西南宁 电信)
171.105.187.73	(中国广西南宁 电信)
171.105.217.214	(中国广西南宁 电信)
171.108.209.35	(中国广西南宁 电信)
171.108.210.75	(中国广西南宁 电信)
171.108.212.204	(中国广西南宁 电信)
222.216.123.55	(中国广西南宁 电信)
36.136.78.3	(中国广西南宁 移动)
42.123.119.98	(中国贵州贵阳 电信)
111.123.56.110	(中国贵州贵阳 电信)
111.123.57.106	(中国贵州贵阳 电信)
111.123.59.139	(中国贵州贵阳 电信)
111.123.248.8	(中国贵州贵阳 电信)
111.123.250.10	(中国贵州贵阳 电信)
111.124.75.236	(中国贵州贵阳 电信)
111.124.192.131	(中国贵州贵阳 电信)
111.124.212.6	(中国贵州贵阳 电信)
113.125.209.140	(中国贵州贵阳 电信)
113.125.230.135	(中国贵州贵阳 电信)
119.0.81.62	(中国贵州贵阳 电信)
119.0.92.228	(中国贵州贵阳 电信)
119.0.110.60	(中国贵州贵阳 电信)
220.197.201.107	(中国贵州贵阳 联通)
117.135.198.159	(中国贵州贵阳 移动)
117.187.46.88	(中国贵州贵阳 移动)
218.201.230.67	(中国贵州黔西南布依族苗族自治州 移动)
218.77.192.52	(中国海南海口 电信)
218.77.193.91	(中国海南海口 电信)
218.77.199.5	(中国海南海口 电信)
113.59.41.36	(中国海南海口 联通)
144.7.96.16	(中国河北保定 电信)
106.119.85.16	(中国河北邯郸 电信)
106.119.87.12	(中国河北邯郸 电信)
101.28.130.190	(中国河北邯郸 联通)
101.96.148.111	(中国河北石家庄 电信)
61.182.134.225	(中国河北石家庄 联通)
101.73.103.161	(中国河北石家庄 联通)
121.29.3.105	(中国河北石家庄 联通)
121.29.13.113	(中国河北石家庄 联通)
111.62.158.89	(中国河北石家庄 移动)
106.117.219.131	(中国河北唐山 电信)
101.72.228.98	(中国河北唐山 联通)
101.72.249.63	(中国河北唐山 联通)
123.12.235.187	(中国河南鹤壁 联通)
222.143.140.169	(中国河南鹤壁 联通)
115.56.90.102	(中国河南焦作 联通)
106.46.26.93	(中国河南洛阳 电信)
221.15.67.100	(中国河南洛阳 联通)
115.54.18.65	(中国河南新乡 联通)
1.194.195.130	(中国河南郑州 电信)
1.194.204.192	(中国河南郑州 电信)
36.99.70.115	(中国河南郑州 电信)
106.42.232.175	(中国河南郑州 电信)
123.6.40.254	(中国河南郑州 联通)
123.6.153.148	(中国河南郑州 联通)
183.205.179.83	(中国河南郑州 移动)
183.205.180.166	(中国河南郑州 移动)
61.163.248.83	(中国河南驻马店 联通)
42.100.50.111	(中国黑龙江哈尔滨 电信)
42.101.23.169	(中国黑龙江哈尔滨 电信)
42.185.159.134	(中国黑龙江哈尔滨 电信)
111.43.166.114	(中国黑龙江哈尔滨 移动)
1.56.100.52	(中国黑龙江鹤岗 联通)
113.1.0.116	(中国黑龙江鹤岗 联通)
61.167.55.138	(中国黑龙江绥化 联通)
122.188.44.183	(中国湖北黄冈 联通)
122.188.45.185	(中国湖北黄冈 联通)
122.189.80.140	(中国湖北荆州 联通)
122.189.82.52	(中国湖北荆州 联通)
122.189.168.140	(中国湖北荆州 联通)
122.189.171.50	(中国湖北荆州 联通)
58.49.156.78	(中国湖北武汉 电信)
119.96.5.56	(中国湖北武汉 电信)
119.96.140.5	(中国湖北武汉 电信)
119.96.253.7	(中国湖北武汉 电信)
111.4.91.30	(中国湖北武汉 移动)
111.48.66.55	(中国湖北武汉 移动)
223.76.173.100	(中国湖北武汉 移动)
183.95.221.170	(中国湖北咸宁 联通)
27.22.110.26	(中国湖北襄阳 电信)
111.170.15.113	(中国湖北襄阳 电信)
111.170.20.36	(中国湖北襄阳 电信)
122.189.225.213	(中国湖北襄阳 联通)
116.207.139.119	(中国湖北宜昌 电信)
119.36.225.68	(中国湖北宜昌 联通)
118.252.9.24	(中国湖南常德 电信)
175.6.193.103	(中国湖南郴州 电信)
124.232.233.178	(中国湖南长沙 电信)
175.6.52.126	(中国湖南长沙 电信)
175.12.74.99	(中国湖南长沙 电信)
175.12.119.240	(中国湖南长沙 电信)
222.246.138.73	(中国湖南长沙 电信)
116.162.186.64	(中国湖南长沙 联通)
111.22.254.129	(中国湖南长沙 移动)
120.226.47.54	(中国湖南长沙 移动)
120.226.149.236	(中国湖南长沙 移动)
120.226.191.139	(中国湖南长沙 移动)
183.214.139.131	(中国湖南长沙 移动)
124.232.180.99	(中国湖南株洲 电信)
61.161.0.167	(中国吉林四平 联通)
123.172.121.189	(中国吉林长春 电信)
116.142.244.151	(中国吉林长春 联通)
116.142.249.60	(中国吉林长春 联通)
111.27.123.71	(中国吉林长春 移动)
58.216.6.17	(中国江苏常州 电信)
58.216.46.8	(中国江苏常州 电信)
61.160.208.99	(中国江苏常州 电信)
61.160.230.253	(中国江苏常州 电信)
61.160.238.205	(中国江苏常州 电信)
180.101.153.107	(中国江苏常州 电信)
218.93.70.64	(中国江苏常州 电信)
112.82.201.52	(中国江苏常州 联通)
58.223.168.74	(中国江苏淮安 电信)
222.184.83.117	(中国江苏淮安 电信)
180.105.72.158	(中国江苏连云港 电信)
58.217.195.19	(中国江苏南京 电信)
221.181.202.106	(中国江苏南京 移动)
49.79.232.97	(中国江苏南通 电信)
122.193.250.67	(中国江苏南通 联通)
121.228.190.73	(中国江苏苏州 电信)
180.97.201.2	(中国江苏苏州 电信)
180.97.205.24	(中国江苏苏州 电信)
36.150.138.43	(中国江苏苏州 移动)
122.195.144.8	(中国江苏宿迁 联通)
36.150.235.80	(中国江苏宿迁 移动)
223.64.227.143	(中国江苏无锡 移动)
36.150.213.192	(中国江苏徐州 移动)
223.109.113.125	(中国江苏徐州 移动)
223.113.140.43	(中国江苏徐州 移动)
36.151.217.245	(中国江苏盐城 移动)
36.156.62.210	(中国江苏盐城 移动)
36.156.95.156	(中国江苏盐城 移动)
58.220.44.76	(中国江苏扬州 电信)
58.220.65.27	(中国江苏扬州 电信)
58.220.72.102	(中国江苏扬州 电信)
58.220.78.63	(中国江苏扬州 电信)
114.230.136.61	(中国江苏扬州 电信)
114.230.197.173	(中国江苏扬州 电信)
112.84.131.92	(中国江苏扬州 联通)
112.2.102.191	(中国江苏扬州 移动)
222.186.39.157	(中国江苏镇江 电信)
222.186.163.48	(中国江苏镇江 电信)
222.186.183.156	(中国江苏镇江 电信)
112.83.76.72	(中国江苏镇江 联通)
36.151.124.102	(中国江苏镇江 移动)
211.103.105.137	(中国江苏镇江 移动)
117.42.74.24	(中国江西抚州 电信)
117.21.224.33	(中国江西赣州 电信)
59.63.81.96	(中国江西景德镇 电信)
106.227.43.43	(中国江西九江 电信)
59.53.162.219	(中国江西南昌 电信)
106.227.18.174	(中国江西南昌 电信)
116.153.41.82	(中国江西南昌 联通)
116.153.60.131	(中国江西南昌 联通)
116.153.62.115	(中国江西南昌 联通)
116.153.68.134	(中国江西南昌 联通)
116.153.74.5	(中国江西南昌 联通)
116.153.78.162	(中国江西南昌 联通)
116.153.82.202	(中国江西南昌 联通)
117.162.3.56	(中国江西南昌 移动)
117.162.32.221	(中国江西南昌 移动)
117.162.57.58	(中国江西南昌 移动)
117.163.49.12	(中国江西南昌 移动)
117.169.3.92	(中国江西南昌 移动)
42.202.154.121	(中国辽宁大连 电信)
42.202.161.3	(中国辽宁大连 电信)
42.202.165.114	(中国辽宁大连 电信)
123.246.95.49	(中国辽宁大连 电信)
42.7.49.107	(中国辽宁大连 联通)
123.247.86.148	(中国辽宁辽阳 电信)
42.4.58.14	(中国辽宁沈阳 联通)
42.177.83.82	(中国辽宁沈阳 联通)
61.189.3.231	(中国辽宁沈阳 联通)
124.95.148.222	(中国辽宁沈阳 联通)
124.95.167.134	(中国辽宁沈阳 联通)
124.95.181.118	(中国辽宁沈阳 联通)
218.60.21.9	(中国辽宁沈阳 联通)
218.60.173.164	(中国辽宁沈阳 联通)
218.61.166.137	(中国辽宁沈阳 联通)
223.100.41.18	(中国辽宁沈阳 移动)
116.95.26.3	(中国内蒙古鄂尔多斯 联通)
60.31.192.55	(中国内蒙古呼和浩特 联通)
111.56.82.38	(中国内蒙古呼和浩特 移动)
117.161.145.43	(中国内蒙古呼和浩特 移动)
222.75.36.107	(中国宁夏银川 电信)
111.51.157.139	(中国宁夏银川 移动)
36.103.218.106	(中国宁夏中卫 电信)
116.172.74.17	(中国宁夏中卫 联通)
111.51.160.51	(中国宁夏中卫 移动)
111.51.161.67	(中国宁夏中卫 移动)
111.51.162.57	(中国宁夏中卫 移动)
118.213.92.49	(中国青海西宁 电信)
125.72.129.64	(中国青海西宁 电信)
223.221.177.39	(中国青海西宁 电信)
139.170.157.190	(中国青海西宁 联通)
150.138.228.179	(中国山东济南 电信)
150.138.237.63	(中国山东济南 电信)
182.40.118.203	(中国山东济南 电信)
60.217.249.26	(中国山东济南 联通)
61.162.9.177	(中国山东济南 联通)
116.196.136.237	(中国山东济南 联通)
119.188.86.138	(中国山东济南 联通)
119.188.150.185	(中国山东济南 联通)
120.221.152.205	(中国山东济南 移动)
60.211.209.54	(中国山东济宁 联通)
140.249.149.5	(中国山东青岛 电信)
140.249.153.84	(中国山东青岛 电信)
140.249.244.145	(中国山东青岛 电信)
182.40.45.120	(中国山东青岛 电信)
27.221.14.171	(中国山东青岛 联通)
27.221.38.43	(中国山东青岛 联通)
27.221.68.43	(中国山东青岛 联通)
119.167.147.202	(中国山东青岛 联通)
119.167.224.139	(中国山东青岛 联通)
119.167.229.239	(中国山东青岛 联通)
123.234.2.79	(中国山东青岛 联通)
120.222.222.17	(中国山东青岛 移动)
120.222.227.93	(中国山东青岛 移动)
119.176.28.114	(中国山东潍坊 联通)
150.138.36.177	(中国山东烟台 电信)
150.138.37.172	(中国山东烟台 电信)
60.210.9.158	(中国山东淄博 联通)
222.134.66.221	(中国山东淄博 联通)
60.221.203.57	(中国山西临汾 联通)
1.71.88.59	(中国山西太原 电信)
211.90.132.213	(中国山西太原 联通)
221.204.18.139	(中国山西太原 联通)
221.204.61.43	(中国山西太原 联通)
221.204.216.52	(中国山西太原 联通)
221.204.217.53	(中国山西太原 联通)
183.201.85.87	(中国山西太原 移动)
60.220.213.245	(中国山西长治 联通)
112.46.151.220	(中国陕西安康 移动)
219.145.171.37	(中国陕西渭南 电信)
113.137.45.189	(中国陕西西安 电信)
113.142.186.134	(中国陕西西安 电信)
113.142.224.83	(中国陕西西安 电信)
113.142.225.77	(中国陕西西安 电信)
203.2.166.71	(中国陕西西安 电信)
113.201.47.70	(中国陕西西安 联通)
36.163.210.204	(中国陕西咸阳 移动)
111.21.244.76	(中国陕西咸阳 移动)
113.142.209.175	(中国陕西延安 电信)
61.170.73.109	(中国上海 电信)
61.170.74.60	(中国上海 电信)
114.80.149.75	(中国上海 电信)
180.153.82.6	(中国上海 电信)
180.163.116.186	(中国上海 电信)
180.163.118.254	(中国上海 电信)
180.163.200.103	(中国上海 电信)
211.95.52.145	(中国上海 联通)
118.123.208.135	(中国四川成都 电信)
171.214.31.134	(中国四川成都 电信)
182.131.28.140	(中国四川成都 电信)
222.212.211.9	(中国四川成都 电信)
112.192.17.170	(中国四川成都 联通)
116.169.181.54	(中国四川成都 联通)
116.169.184.100	(中国四川成都 联通)
116.169.189.163	(中国四川成都 联通)
183.222.232.147	(中国四川成都 移动)
223.87.87.157	(中国四川成都 移动)
220.167.9.131	(中国四川德阳 电信)
118.123.20.60	(中国四川绵阳 电信)
125.66.115.54	(中国四川南充 电信)
125.66.117.12	(中国四川南充 电信)
125.64.7.19	(中国四川雅安 电信)
171.220.231.50	(中国四川雅安 电信)
117.176.244.197	(中国四川雅安 移动)
42.81.29.29	(中国天津 电信)
123.151.96.12	(中国天津 电信)
123.151.98.173	(中国天津 电信)
60.26.232.50	(中国天津 联通)
111.164.19.29	(中国天津 联通)
125.36.100.4	(中国天津 联通)
125.36.103.189	(中国天津 联通)
125.37.205.217	(中国天津 联通)
125.39.113.5	(中国天津 联通)
125.39.194.5	(中国天津 联通)
220.194.72.86	(中国天津 联通)
220.194.76.145	(中国天津 联通)
111.31.238.52	(中国天津 移动)
111.32.202.103	(中国天津 移动)
112.57.79.52	(中国天津 移动)
110.157.10.88	(中国新疆昌吉回族自治州 电信)
49.119.115.50	(中国新疆乌鲁木齐 电信)
49.119.121.59	(中国新疆乌鲁木齐 电信)
106.60.71.88	(中国云南楚雄彝族自治州 电信)
182.242.44.131	(中国云南昆明 电信)
182.242.50.224	(中国云南昆明 电信)
182.242.56.192	(中国云南昆明 电信)
182.242.219.8	(中国云南昆明 电信)
