gst.prod.dl.playstation.net

223.215.189.41	(中国安徽池州 电信)
117.66.33.167	(中国安徽合肥 电信)
117.68.38.175	(中国安徽合肥 电信)
117.68.47.16	(中国安徽合肥 电信)
58.242.249.139	(中国安徽合肥 联通)
220.205.38.20	(中国安徽合肥 联通)
112.132.250.40	(中国安徽马鞍山 联通)
36.110.220.116	(中国北京 电信)
49.7.69.135	(中国北京 电信)
106.120.187.170	(中国北京 电信)
220.181.35.43	(中国北京 电信)
61.49.23.50	(中国北京 联通)
123.125.244.95	(中国北京 联通)
36.140.144.161	(中国北京 移动)
39.156.8.57	(中国北京 移动)
111.13.143.207	(中国北京 移动)
119.84.164.226	(中国重庆 电信)
219.152.87.114	(中国重庆 电信)
219.153.45.106	(中国重庆 电信)
219.153.187.19	(中国重庆 电信)
222.180.167.99	(中国重庆 电信)
58.144.195.127	(中国重庆 联通)
58.144.228.61	(中国重庆 联通)
58.144.248.5	(中国重庆 联通)
111.10.66.222	(中国重庆 移动)
221.178.62.146	(中国重庆 移动)
221.178.87.165	(中国重庆 移动)
117.27.148.212	(中国福建福州 电信)
120.39.206.88	(中国福建福州 电信)
121.204.225.170	(中国福建福州 电信)
121.204.231.14	(中国福建福州 电信)
124.72.128.171	(中国福建福州 电信)
112.48.230.9	(中国福建福州 移动)
218.67.91.87	(中国福建龙岩 电信)
220.249.135.15	(中国福建宁德 联通)
27.152.29.29	(中国福建泉州 电信)
36.249.91.84	(中国福建泉州 联通)
112.47.12.119	(中国福建泉州 移动)
112.47.52.52	(中国福建泉州 移动)
110.88.142.106	(中国福建厦门 电信)
36.212.133.231	(中国福建厦门 移动)
183.253.56.231	(中国福建厦门 移动)
61.134.71.91	(中国甘肃兰州 电信)
118.180.0.71	(中国甘肃兰州 电信)
125.74.134.77	(中国甘肃兰州 电信)
14.17.91.15	(中国广东东莞 电信)
14.152.89.176	(中国广东东莞 电信)
119.147.113.103	(中国广东东莞 电信)
119.147.120.134	(中国广东东莞 电信)
119.147.131.192	(中国广东东莞 电信)
14.29.45.75	(中国广东佛山 电信)
14.29.47.38	(中国广东佛山 电信)
14.29.49.45	(中国广东佛山 电信)
59.37.89.217	(中国广东佛山 电信)
120.232.97.96	(中国广东佛山 移动)
120.232.104.147	(中国广东佛山 移动)
120.240.48.76	(中国广东佛山 移动)
120.240.51.75	(中国广东佛山 移动)
120.240.101.143	(中国广东佛山 移动)
183.232.190.139	(中国广东佛山 移动)
183.240.60.61	(中国广东佛山 移动)
14.22.20.213	(中国广东广州 电信)
14.29.100.64	(中国广东广州 电信)
14.215.41.10	(中国广东广州 电信)
125.88.64.89	(中国广东广州 电信)
157.148.126.101	(中国广东广州 联通)
36.213.17.122	(中国广东广州 移动)
120.232.207.6	(中国广东广州 移动)
120.233.3.4	(中国广东惠州 移动)
120.241.86.29	(中国广东惠州 移动)
120.241.255.121	(中国广东江门 移动)
183.36.22.80	(中国广东深圳 电信)
58.251.60.39	(中国广东深圳 联通)
58.251.62.54	(中国广东深圳 联通)
58.251.87.154	(中国广东深圳 联通)
111.45.68.123	(中国广东湛江 移动)
112.60.89.14	(中国广东湛江 移动)
112.60.32.13	(中国广东中山 移动)
182.91.196.137	(中国广西桂林 联通)
182.91.254.87	(中国广西桂林 联通)
116.11.126.61	(中国广西柳州 电信)
116.8.119.198	(中国广西南宁 电信)
116.253.61.102	(中国广西南宁 电信)
171.105.61.164	(中国广西南宁 电信)
171.105.219.205	(中国广西南宁 电信)
222.84.158.6	(中国广西南宁 电信)
222.216.123.84	(中国广西南宁 电信)
222.218.188.177	(中国广西南宁 电信)
211.97.92.163	(中国广西南宁 联通)
220.200.130.83	(中国广西南宁 联通)
220.200.134.136	(中国广西南宁 联通)
58.42.59.109	(中国贵州贵阳 电信)
58.42.63.95	(中国贵州贵阳 电信)
111.123.57.105	(中国贵州贵阳 电信)
111.123.248.40	(中国贵州贵阳 电信)
111.124.71.248	(中国贵州贵阳 电信)
111.124.75.240	(中国贵州贵阳 电信)
119.0.81.182	(中国贵州贵阳 电信)
119.0.110.64	(中国贵州贵阳 电信)
117.135.197.218	(中国贵州贵阳 移动)
117.187.40.216	(中国贵州贵阳 移动)
117.187.145.124	(中国贵州贵阳 移动)
117.187.245.239	(中国贵州贵阳 移动)
124.225.154.9	(中国海南海口 电信)
113.59.44.10	(中国海南海口 联通)
153.0.226.185	(中国海南海口 联通)
144.7.107.86	(中国河北保定 电信)
