tlu.dl.delivery.mp.microsoft.com

223.247.66.209	(中国安徽蚌埠 电信)
120.209.209.233	(中国安徽亳州 移动)
120.209.185.51	(中国安徽阜阳 移动)
211.141.193.75	(中国安徽阜阳 移动)
220.180.243.214	(中国安徽合肥 电信)
61.241.148.138	(中国安徽合肥 联通)
61.241.178.253	(中国安徽合肥 联通)
211.91.65.82	(中国安徽合肥 联通)
60.167.125.77	(中国安徽芜湖 电信)
223.247.113.52	(中国安徽芜湖 电信)
36.110.220.113	(中国北京 电信)
106.39.192.140	(中国北京 电信)
220.181.10.25	(中国北京 电信)
220.181.141.128	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
119.84.61.79	(中国重庆 电信)
119.86.194.181	(中国重庆 电信)
119.86.220.12	(中国重庆 电信)
183.66.105.139	(中国重庆 电信)
219.152.87.120	(中国重庆 电信)
219.153.153.241	(中国重庆 电信)
58.144.195.201	(中国重庆 联通)
58.144.230.55	(中国重庆 联通)
58.144.231.67	(中国重庆 联通)
111.10.22.74	(中国重庆 移动)
183.230.59.146	(中国重庆 移动)
59.56.23.9	(中国福建福州 电信)
121.204.229.159	(中国福建福州 电信)
125.77.30.5	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
36.248.43.217	(中国福建福州 联通)
58.22.102.1	(中国福建福州 联通)
175.43.192.175	(中国福建福州 联通)
112.48.214.89	(中国福建福州 移动)
112.50.102.244	(中国福建福州 移动)
106.126.4.85	(中国福建泉州 电信)
220.160.34.46	(中国福建泉州 电信)
36.249.91.98	(中国福建泉州 联通)
180.178.234.65	(中国福建泉州 联通)
112.48.194.194	(中国福建泉州 移动)
112.48.244.160	(中国福建泉州 移动)
117.31.118.34	(中国福建厦门 电信)
120.39.163.180	(中国福建厦门 电信)
119.233.138.1	(中国福建厦门 福建广电/联通)
183.250.178.8	(中国福建厦门 移动)
183.253.56.53	(中国福建厦门 移动)
60.164.4.11	(中国甘肃兰州 电信)
60.164.5.185	(中国甘肃兰州 电信)
125.74.78.19	(中国甘肃兰州 电信)
125.76.80.125	(中国甘肃兰州 电信)
117.157.232.130	(中国甘肃兰州 移动)
121.12.126.76	(中国广东东莞 电信)
183.60.159.118	(中国广东东莞 电信)
183.60.163.108	(中国广东东莞 电信)
183.61.239.180	(中国广东东莞 电信)
27.44.132.62	(中国广东东莞 联通)
14.29.72.186	(中国广东佛山 电信)
116.31.102.54	(中国广东佛山 电信)
120.232.117.8	(中国广东佛山 移动)
14.22.20.210	(中国广东广州 电信)
14.29.101.173	(中国广东广州 电信)
113.108.215.44	(中国广东广州 电信)
125.88.64.84	(中国广东广州 电信)
125.88.199.110	(中国广东广州 电信)
183.56.150.22	(中国广东广州 电信)
219.135.97.214	(中国广东广州 电信)
120.233.178.191	(中国广东广州 移动)
120.233.184.92	(中国广东广州 移动)
120.233.185.200	(中国广东广州 移动)
120.233.188.228	(中国广东广州 移动)
183.236.57.95	(中国广东广州 移动)
183.240.181.237	(中国广东广州 移动)
183.240.242.132	(中国广东广州 移动)
183.232.115.65	(中国广东惠州 移动)
119.147.227.49	(中国广东汕头 电信)
120.238.52.243	(中国广东汕头 移动)
120.240.79.7	(中国广东汕头 移动)
59.36.133.252	(中国广东深圳 电信)
58.251.87.184	(中国广东深圳 联通)
120.232.94.164	(中国广东深圳 移动)
120.234.70.56	(中国广东深圳 移动)
120.241.125.103	(中国广东深圳 移动)
111.45.78.3	(中国广东湛江 移动)
14.119.92.2	(中国广东肇庆 电信)
183.237.146.127	(中国广东中山 移动)
182.91.248.13	(中国广西桂林 联通)
113.16.214.79	(中国广西南宁 电信)
171.105.25.78	(中国广西南宁 电信)
171.105.216.110	(中国广西南宁 电信)
171.105.218.16	(中国广西南宁 电信)
171.105.219.210	(中国广西南宁 电信)
171.108.209.190	(中国广西南宁 电信)
171.108.210.125	(中国广西南宁 电信)
171.108.211.109	(中国广西南宁 电信)
171.108.212.62	(中国广西南宁 电信)
182.90.201.150	(中国广西南宁 联通)
211.97.84.51	(中国广西南宁 联通)
211.97.92.228	(中国广西南宁 联通)
36.136.78.5	(中国广西南宁 移动)
36.159.118.61	(中国广西南宁 移动)
117.141.255.7	(中国广西南宁 移动)
42.123.119.100	(中国贵州贵阳 电信)
58.42.63.107	(中国贵州贵阳 电信)
111.123.56.184	(中国贵州贵阳 电信)
111.123.57.101	(中国贵州贵阳 电信)
111.123.251.137	(中国贵州贵阳 电信)
111.124.68.5	(中国贵州贵阳 电信)
111.124.69.139	(中国贵州贵阳 电信)
111.124.207.60	(中国贵州贵阳 电信)
111.124.212.4	(中国贵州贵阳 电信)
113.125.230.241	(中国贵州贵阳 电信)
119.0.79.86	(中国贵州贵阳 电信)
119.0.92.108	(中国贵州贵阳 电信)
119.0.111.59	(中国贵州贵阳 电信)
117.135.198.156	(中国贵州贵阳 移动)
218.201.230.69	(中国贵州黔西南布依族苗族自治州 移动)
124.225.13.52	(中国海南海口 电信)
124.225.27.53	(中国海南海口 电信)
218.77.192.55	(中国海南海口 电信)
218.77.193.88	(中国海南海口 电信)
218.77.199.1	(中国海南海口 电信)
113.59.44.125	(中国海南海口 联通)
111.29.14.221	(中国海南海口 移动)
111.29.46.35	(中国海南海口 移动)
144.7.96.16	(中国河北保定 电信)
116.131.60.103	(中国河北保定 联通)
124.238.22.66	(中国河北沧州 电信)
106.119.87.11	(中国河北邯郸 电信)
101.28.130.9	(中国河北邯郸 联通)
121.17.254.4	(中国河北衡水 联通)
123.182.162.160	(中国河北廊坊 电信)
124.239.228.10	(中国河北廊坊 电信)
121.22.227.4	(中国河北秦皇岛 联通)
27.185.218.91	(中国河北石家庄 电信)
124.236.19.60	(中国河北石家庄 电信)
124.236.64.12	(中国河北石家庄 电信)
61.182.137.77	(中国河北石家庄 联通)
121.29.3.95	(中国河北石家庄 联通)
121.29.13.82	(中国河北石家庄 联通)
36.144.69.129	(中国河北石家庄 移动)
101.72.227.57	(中国河北唐山 联通)
61.54.15.8	(中国河南安阳 联通)
123.13.185.133	(中国河南安阳 联通)
221.15.64.5	(中国河南洛阳 联通)
221.15.67.37	(中国河南洛阳 联通)
222.138.208.3	(中国河南洛阳 联通)
202.110.125.129	(中国河南濮阳 联通)
1.194.175.186	(中国河南郑州 电信)
1.194.202.247	(中国河南郑州 电信)
1.194.204.244	(中国河南郑州 电信)
36.99.183.93	(中国河南郑州 电信)
