uplaypc-s-ubisoft.cdn.ubionline.com.cn

27.155.111.209	(中国福建福州 电信)
221.194.158.142	(中国河北廊坊 联通)
111.62.196.201	(中国河北石家庄 移动)
222.138.6.90	(中国河南驻马店 联通)
124.232.177.27	(中国湖南株洲 电信)
218.91.224.25	(中国江苏南通 电信)
223.113.13.130	(中国江苏南通 移动)
115.152.254.50	(中国江西景德镇 电信)
60.210.22.176	(中国山东淄博 联通)
124.134.127.112	(中国山东淄博 联通)
60.221.220.99	(中国山西临汾 联通)
117.177.246.89	(中国四川成都 移动)
182.242.139.233	(中国云南昆明 电信)
122.224.10.19	(中国浙江绍兴 电信)
122.228.23.88	(中国浙江温州 电信)
240e:979:9506::da5b:e021	(中国江苏南通 电信)
2408:871a:6010:7::ddc2:9e90	(中国河北廊坊 联通)
2409:8c20:5a62:7::df71:d93	(中国江苏南通 移动)
